facility_name,proprieter,district,cluster
Holy family,Archdiocese of Blantyre,Phalombe,Mulanje Phalombe
Chiringa,Archdiocese of Blantyre,Phalombe,Mulanje/Phalombe
Sukasanje,Archdiocese of Blantyre,Phalombe,Mulanje/Phalombe
Thembe,Seventh Day Baptist,Mulanje,Mulanje/Phalombe
Tcharo,Livingstonia Synod,Rumphi,"Rumphi, Mzimba and Chitipa"
Chambo,SDA,Chitipa,"Rumphi, Mzimba and Chitipa"
Lunjika,Seventh Day Adventist,Mzimba,"Rumphi, Mzimba and Chitipa"
Mbwatalika,,,
Kanyama,Diocese of Dedza,Dedza,Dedza
Kaundu,,Dedza,Dedza
Madisi,Archdiocese of Lilongwe,Dowa,Lilongwe and Dowa
Kaseye,Diocese of Mzuzu,Chitipa,"Rumphi, Mzimba and Chitipa"
